Time Elapsed (s),Timestamp,Frequency,Moving Average
0.0488743782043457,1756893372.385658,5976273.685065792,5976273.685065792
0.5598921775817871,1756893372.896675,5976272.126888204,5976272.905976998
1.062401533126831,1756893373.399185,5976272.844272756,5976272.8854089165
1.5652740001678467,1756893373.902057,5976273.459076964,5976273.028825928
2.0720033645629883,1756893374.408786,5976273.826808409,5976273.188422425
2.5764122009277344,1756893374.913195,5976271.783860198,5976272.808181306
3.0807504653930664,1756893375.417534,5976273.932202503,5976273.169244166
3.5855820178985596,1756893375.922365,5976273.500260021,5976273.300441619
4.090559959411621,1756893376.427343,5976272.508349467,5976273.11029612
4.59967565536499,1756893376.936459,5976273.070523774,5976272.959039194
5.106813192367554,1756893377.443596,5976273.763134543,5976273.3548940625
5.6091248989105225,1756893377.945908,5976272.5486116605,5976273.078175893
6.115453720092773,1756893378.452237,5976273.291230427,5976273.036369975
6.623342275619507,1756893378.960126,5976271.874878592,5976272.909675799
7.127152919769287,1756893379.463936,5976270.617228608,5976272.419016765
7.630316734313965,1756893379.9671,5976267.879974984,5976271.242384855
8.133439779281616,1756893380.470223,5976265.398695801,5976269.812401682
8.640471458435059,1756893380.977255,5976262.193157567,5976267.592787109
9.145337104797363,1756893381.48212,5976260.685691414,5976265.3549496755
9.648020505905151,1756893381.984804,5976257.525301065,5976262.736564166
10.15301775932312,1756893382.489801,5976256.0223688865,5976260.365042946
10.657730102539062,1756893382.994513,5976252.446330221,5976257.77456983
11.160940408706665,1756893383.497724,5976248.1233690325,5976254.960612124
11.665624856948853,1756893384.002408,5976240.81066499,5976250.985606839
12.170471906661987,1756893384.507255,5976233.421388599,5976246.164824346
12.674896240234375,1756893385.01168,5976226.488687786,5976240.258088126
13.179513454437256,1756893385.516297,5976222.589259805,5976234.286674043
13.686200141906738,1756893386.022983,5976221.253157376,5976228.912631711
14.191025018692017,1756893386.527808,5976217.554061946,5976224.261311103
14.693807125091553,1756893387.03059,5976219.025505713,5976221.382134525
15.20048475265503,1756893387.537268,5976218.240949294,5976219.732586826
15.705143213272095,1756893388.041926,5976215.02149579,5976218.219034024
16.21039891242981,1756893388.547182,5976212.373329304,5976216.443068409
16.71418786048889,1756893389.050971,5976211.128462694,5976215.157948559
17.220682621002197,1756893389.557466,5976209.130265886,5976213.178900594
17.72515296936035,1756893390.061936,5976205.50185951,5976210.631082636
18.230062007904053,1756893390.566845,5976203.317693063,5976208.2903220905
18.7347309589386,1756893391.071514,5976200.719157277,5976205.959487686
19.23720097541809,1756893391.573984,5976197.938252171,5976203.321445581
19.744152545928955,1756893392.080936,5976195.411096086,5976200.577611621
20.249157667160034,1756893392.585941,5976191.836342792,5976197.844508277
20.75545859336853,1756893393.092242,5976188.313739783,5976194.843717622
21.25836205482483,1756893393.595145,5976184.44517991,5976191.588922149
21.76542067527771,1756893394.102204,5976180.899395444,5976188.181150803
22.27066135406494,1756893394.607445,5976176.948130529,5976184.488557692
22.77526354789734,1756893395.112047,5976174.914039234,5976181.104096981
23.282004594802856,1756893395.618788,5976170.670061265,5976177.575361276
23.789853811264038,1756893396.126637,5976167.983020275,5976174.28292935
24.293787956237793,1756893396.630571,5976162.292743226,5976170.561598906
24.800989389419556,1756893397.137773,5976158.561654188,5976166.884303638
25.30626893043518,1756893397.643052,5976153.866593847,5976162.6748145595
25.8112211227417,1756893398.148004,5976151.029400967,5976158.7466825005
26.315569400787354,1756893398.652353,5976145.011207024,5976154.15231985
26.820560932159424,1756893399.157344,5976139.153249704,5976149.524421145
27.327765226364136,1756893399.664548,5976135.225076717,5976144.857105652
27.832740783691406,1756893400.169524,5976133.311605736,5976140.74610803
28.33739471435547,1756893400.674178,5976135.150167039,5976137.570261245
28.843159437179565,1756893401.179943,5976135.068894451,5976135.581798729
29.349949598312378,1756893401.686733,5976138.070838744,5976135.365316537
29.855128049850464,1756893402.191911,5976139.514196177,5976136.223140428
30.357555389404297,1756893402.694339,5976140.9918749565,5976137.7591942735
30.86450457572937,1756893403.201288,5976143.78099749,5976139.4853603635
31.36747455596924,1756893403.704258,5976146.766257528,5976141.824832979
31.875868320465088,1756893404.212652,5976151.053452128,5976144.421355655
32.383238792419434,1756893404.720022,5976154.171987957,5976147.352914011
32.88806200027466,1756893405.224845,5976159.16927694,5976150.988394408
33.39112997055054,1756893405.727913,5976163.423416381,5976154.916878187
33.89832544326782,1756893406.235109,5976169.138038756,5976159.391234432
34.40345859527588,1756893406.740242,5976175.399999307,5976164.260543868
34.90591549873352,1756893407.242699,5976181.278087722,5976169.68176382
35.411229848861694,1756893407.748013,5976187.681208955,5976175.384150224
35.91595697402954,1756893408.25274,5976193.041618671,5976181.307790683
36.42062067985535,1756893408.757404,5976198.337350525,5976187.147653037
36.92552900314331,1756893409.262312,5976202.891135074,5976192.64588019
37.43011426925659,1756893409.766897,5976205.914329569,5976197.57312856
37.934648513793945,1756893410.271432,5976207.254863652,5976201.487859499
38.43972706794739,1756893410.77651,5976210.571967045,5976204.993929173
38.94464135169983,1756893411.281425,5976212.786323742,5976207.883723816
39.451354026794434,1756893411.788137,5976214.100459742,5976210.1255887505
39.9579074382782,1756893412.294691,5976215.435711651,5976212.029865166
40.46425747871399,1756893412.801041,5976216.490662978,5976213.877025032
